id,name,address,city,department,country,kind,nit,phone,lat,lng,validation_status,confidence,precision,provider,evidence,distance_to_runt_anchor_m,address_consistency,runt_source_url,geocode_source_url
cda-manizales-cda-caldas-el-bosque-a730920403,CDA CALDAS EL BOSQUE,CALLE 12 # 30 32,Manizales,Caldas,Colombia,CDA,890805554,3113549239,5.0619543,-75.5239713,confirmed_address,0.92,building,manizales_geoportal_nomenclatura_predial,"Dirección municipal C 12 30 32; OBJECTID 32634; derivation_method=polygon_area_centroid. Confirma la dirección predial oficial del Geoportal de Manizales, no el negocio.",46.1,within_100m,https://www.runt.gov.co/directorio-de-actores,https://sig.manizales.gov.co/wadmzl/rest/services/20_WEB/2020_consulta_POT_urbano_web_v10_2/MapServer/10/query?f=json&objectIds=32634&outFields=CATASTRO_13SEP2021.DBO.Construcciones_Urbanas_MASORA_NEW.OBJECTID%2CCATASTRO_13SEP2021.DBO.BDD_PREDIO_AVALUO_PROP_NEW.direccion&returnGeometry=true&outSR=4326
cda-manizales-cda-de-la-23-932437de5e,CDA DE LA 23,CR 23 15-47,Manizales,Caldas,Colombia,CDA,901031431,3054449447,5.0669932,-75.5215859,confirmed_address,0.9,building,geoapify,"Candidato previo aceptado; país=Colombia, municipio=Manizales y precisión suficiente.",57.1,within_100m,https://www.runt.gov.co/directorio-de-actores,https://www.geoapify.com/geocoding-api/
cda-manizales-cda-de-las-motos-s-a-s-cefd995a8f,CDA DE LAS MOTOS S.A.S,CALLE 27 N 17-24,Manizales,Caldas,Colombia,CDA,901379552,3008997587,5.07082986831665,-75.51451873779297,confirmed_business,0.97,business,overture_maps_2026-06-17,Overture 07680322-45b2-46b6-b1d6-0b076069d72f; nombre CDAdelasMotos y dirección Calle 27 17-24 coinciden exactamente con RUNT; web=http://bit.ly/CDADELASMOTOS.,29.9,within_100m,https://www.runt.gov.co/directorio-de-actores,http://bit.ly/CDADELASMOTOS.
cda-manizales-cda-periautos-del-cafe-47cdf6ccee,CDA PERIAUTOS DEL CAFE,CLL 37 N 25 - 36,Manizales,Caldas,Colombia,CDA,901461413,8846590,5.065774440765381,-75.50843811035156,confirmed_business,0.9536,business,overture_maps_2026-06-17,Overture adfb16be-834a-415f-8ae8-834566c0ac5b; nombre y dirección coinciden; nombre=CDA Periautos; dirección=Cl. 37 # 25-26; score_nombre=0.920; confianza_fuente=0.796; web=https://linktr.ee/cdaperiautos; dirección RUNT y lugar comercial difieren,35.8,within_100m,https://www.runt.gov.co/directorio-de-actores,https://linktr.ee/cdaperiautos
cda-manizales-cda-socicar-7acac31f0f,CDA SOCICAR,AVENIDA 19 N 13 - 44 LOCAL 3-4-5-6 AMERICAS,Manizales,Caldas,Colombia,CDA,901841847,3043331591,5.0694483,-75.5235525,approximate_not_confirmed,0.62,street_intersection,openstreetmap_road_network,Cruce colombiano carrera 19 con calle 13; separación de vías=0.0 m; no confirma el negocio.,0.0,within_100m,https://www.runt.gov.co/directorio-de-actores,https://www.openstreetmap.org/copyright
cda-manizales-centro-de-diagnostico-automotor-autobig--751aa51622,CENTRO DE DIAGNOSTICO AUTOMOTOR AUTOBIG S.A.S.,CARRERA 10 NO 20 01,Manizales,Caldas,Colombia,CDA,900760433,8803400,5.075747013092041,-75.51927185058594,confirmed_business,0.9536,business,overture_maps_2026-06-17,Overture 24acca71-366e-4e46-9204-c355a2716035; nombre comercial muy fuerte; nombre=CDA AutoBig Manizales; dirección=Carrera 10A-20; score_nombre=0.920; confianza_fuente=0.949; web=https://cdaautobig.com/; dirección RUNT y lugar comercial difieren,106.8,within_250m,https://www.runt.gov.co/directorio-de-actores,https://cdaautobig.com/
cda-manizales-centro-de-diagnostico-automotor-canguro--adab3b9bfc,CENTRO DE DIAGNOSTICO AUTOMOTOR CANGURO S.A.S. SIGLA: CDA CANGURO S.A.S,AVENIDA KEVIN ANGEL NO. 57-10,Manizales,Caldas,Colombia,CDA,810004932,8815075,5.0656101,-75.4908304,confirmed_business,0.972,business,openstreetmap_overpass,OSM node/8758337054; nombre=Centro de Diagnostico Automotor Canguro; score_nombre=0.920,17.1,within_100m,https://www.runt.gov.co/directorio-de-actores,https://www.openstreetmap.org/node/8758337054
cda-manizales-centro-de-diagnostico-automotor-converry-22c7414615,CENTRO DE DIAGNOSTICO AUTOMOTOR CONVERRY,CALLE 64A NO. 20 A-50,Manizales,Caldas,Colombia,CDA,900271449,8852590,5.057857036590576,-75.4844970703125,confirmed_business,0.9536,business,overture_maps_2026-06-17,Overture 9d027d5c-f5e1-4b8e-a7ca-4a1ee95f0bd5; nombre comercial muy fuerte; nombre=CDA Converry - Centro de Diagnóstico Automotor - Revisión Técnico Mecánica; dirección=Calle 64B 20A-50; score_nombre=0.920; confianza_fuente=0.883; web=https://www.converry.com/; dirección RUNT y lugar comercial difieren,36.1,within_100m,https://www.runt.gov.co/directorio-de-actores,https://www.converry.com/
cda-manizales-centro-de-diagnostico-automotor-de-calda-f03cfeb7c1,CENTRO DE DIAGNOSTICO AUTOMOTOR DE CALDAS LTDA,"Manizales, Caldas",Manizales,Caldas,Colombia,CDA,890805554,8752828,5.0593605,-75.4832681,confirmed_business,0.9648275862068966,business,openstreetmap_overpass,OSM node/1132306388; nombre=Centro de Diagnóstico Automotor de Caldas; score_nombre=0.848,,anchor_not_available,https://www.runt.gov.co/directorio-de-actores,https://www.openstreetmap.org/node/1132306388
cda-manizales-centro-de-diagnostico-automotor-el-ruiz--bf099c5f78,CENTRO DE DIAGNOSTICO AUTOMOTOR EL RUIZ S.A.S,CRA 26 VIA AL MAGDALENA 105-172 BOGEDA 4,Manizales,Caldas,Colombia,CDA,901336031,3012522929,5.035777568817139,-75.45712280273438,confirmed_business,0.9536,business,overture_maps_2026-06-17,Overture de8838b5-05ac-4e71-88ab-35052d88094d; teléfono RUNT coincide; nombre=CDA El Ruiz; dirección=Carrera 29A-4; score_nombre=0.920; confianza_fuente=0.951; web=http://www.cdaelruiz.com/; dirección RUNT y lugar comercial difieren,,anchor_not_available,https://www.runt.gov.co/directorio-de-actores,http://www.cdaelruiz.com/
